iter	Passed	Remaining
891	36171	166582
892	36209	166531
893	36257	166523
894	36280	166402
895	36316	166341
896	36363	166330
897	36368	166127
898	36409	166090
899	36458	166090
900	36504	166072
901	36539	166008
902	36578	165958
903	36624	165945
904	36670	165929
905	36707	165873
906	36798	166060
907	36848	166062
908	36866	165920
909	36904	165868
910	36929	165758
911	36968	165710
912	36980	165540
913	37005	165431
914	37025	165301
915	37068	165269
916	37095	165168
917	37117	165046
918	37150	164975
919	37199	164970
920	37242	164943
921	37280	164889
922	37324	164865
923	37367	164838
924	37402	164773
925	37448	164755
926	37491	164727
927	37536	164707
928	37566	164620
929	37613	164608
930	37651	164557
931	37696	164539
932	37733	164483
933	37741	164298
934	37784	164269
935	37819	164207
936	37832	164046
937	37836	163851
938	37852	163704
939	37896	163678
940	37940	163655
941	37970	163569
942	37993	163456
943	38038	163436
944	38070	163359
945	38115	163340
946	38135	163211
947	38182	163202
948	38203	163080
949	38253	163078
950	38301	163074
951	38351	163073
952	38386	163012
953	38412	162912
954	38436	162802
955	38474	162750
956	38518	162728
957	38565	162717
958	38610	162694
959	38648	162647
960	38696	162636
961	38719	162527
962	38928	163193
963	38981	163204
964	39037	163229
965	39068	163151
966	39106	163096
967	39121	162953
968	39173	162961
969	39212	162914
970	39243	162836
971	39292	162828
972	39355	162880
973	39401	162865
974	39446	162841
975	39451	162655
976	39477	162558
977	39528	162558
978	39551	162449
979	39566	162304
980	39582	162163
981	39607	162059
982	39651	162035
983	39680	161949
984	39718	161899
985	39732	161752
986	39776	161727
987	39800	161618
988	39829	161532
989	39864	161470
990	39953	161628
991	39996	161599
992	40018	161484
993	40048	161403
994	40062	161257
995	40087	161156
996	40103	161016
997	40116	160869
998	40162	160852
999	40208	160835
1000	40277	160909
1001	40345	160978
1002	40393	160968
1003	40431	160921
1004	40483	160926
1005	40524	160887
1006	40538	160743
1007	40554	160608
1008	40563	160444
1009	40600	160393
1010	40630	160309
1011	40660	160232
1012	40692	160159
1013	40740	160150
1014	40745	159971
1015	40751	159796
1016	40783	159726
1017	40827	159699
1018	40863	159643
1019	40885	159535
1020	40955	159611
1021	40986	159535
1022	41025	159490
1023	41069	159464
1024	41112	159435
1025	41123	159283
1026	41152	159201
1027	41160	159035
1028	41186	158942
1029	41235	158935
1030	41261	158842
1031	41296	158783
1032	41319	158679
1033	41365	158659
1034	41370	158486
1035	41394	158387
1036	41399	158213
1037	41404	158038
1038	41426	157930
1039	41465	157888
1040	41492	157800
1041	41498	157630
1042	41515	157503
1043	41566	157507
1044	41603	157457
1045	41634	157383
1046	41639	157213
1047	41689	157210
1048	41732	157182
1049	41769	157132
1050	41817	157124
1051	41858	157089
1052	41874	156958
1053	41900	156868
1054	41990	157017
1055	42022	156949
1056	42053	156874
1057	42077	156776
1058	42093	156647
1059	42119	156558
1060	42151	156488
1061	42192	156455
1062	42212	156341
1063	42249	156292
1064	42254	156123
1065	42288	156063
1066	42320	155996
1067	42359	155954
1068	42408	155949
1069	42422	155812
1070	42434	155672
1071	42464	155595
1072	42476	155456
1073	42493	155336
1074	42520	155249
1075	42542	155145
1076	42573	155073
1077	42611	155031
1078	42649	154984
1079	42687	154941
1080	42731	154916
1081	42752	154810
1082	42795	154782
1083	42834	154740
1084	42839	154576
1085	42885	154561
1086	42922	154513
1087	43024	154699
